Time,RTT
6.36599,0.0330575
6.3671,0.0331753
6.36711,0.0332784
6.36823,0.0332436
6.36824,0.0332132
6.36935,0.0331865
6.36936,0.0331632
6.3706,0.0331428
6.37061,0.033125
6.37173,0.0331093
6.37174,0.0330957
6.37285,0.0330837
6.37286,0.0330732
6.37398,0.0330641
6.37399,0.0330561
6.3751,0.0331741
6.37511,0.0332773
6.37623,0.0332426
6.37624,0.0332123
6.37735,0.0331858
6.37736,0.0331626
6.3786,0.0331422
6.37861,0.0331245
6.37973,0.0331089
6.37974,0.0330953
6.38085,0.0330834
6.38086,0.033073
6.38198,0.0330638
6.38199,0.0330559
6.3831,0.0331739
6.38311,0.0332771
6.38423,0.0332425
6.38424,0.0332122
6.3856,0.0331857
6.38561,0.0331625
6.3866,0.0331421
6.38661,0.0331244
6.38773,0.0331088
6.38774,0.0330952
6.38885,0.0330833
6.38886,0.0330729
6.38998,0.0331888
6.38999,0.0331652
6.3911,0.0333945
6.39111,0.0334702
6.39223,0.0336614
6.39224,0.0335788
6.39348,0.0336314
6.39349,0.0335525
6.3946,0.0336084
6.39461,0.0335324
6.39573,0.0335908
6.39574,0.033517
6.39685,0.0335774
6.39686,0.0335052
6.39798,0.033567
6.39799,0.0334962
6.3991,0.0336841
6.39911,0.0337236
6.40035,0.0338832
6.40036,0.0337728
6.40148,0.0338012
6.40149,0.033701
6.4026,0.0337384
6.40261,0.0336461
6.40373,0.0336903
6.40374,0.033604
6.40498,0.0336535
6.40499,0.0335718
6.40598,0.0336254
6.40599,0.0335472
6.40723,0.0337288
6.40724,0.0337627
6.40835,0.0339174
6.40836,0.0338027
6.40948,0.0338273
6.40949,0.0337239
6.4106,0.0337584
6.41061,0.0336636
6.41173,0.0337057
6.41174,0.0336175
6.41285,0.0336653
6.41286,0.0335821
6.41398,0.0336344
6.41399,0.0335551
6.41523,0.0337357
6.41524,0.0337687
6.41635,0.0339226
6.41636,0.0338073
6.41748,0.0338314
6.41749,0.0337275
6.4186,0.0337615
6.41861,0.0336663
6.41973,0.033708
6.41974,0.0336195
6.42085,0.0336671
6.42086,0.0335837
6.4221,0.0337607
6.42211,0.0337907
6.42323,0.0339418
6.42324,0.0339491
6.42435,0.0340805
6.42436,0.0339454
6.4256,0.0339522
6.42561,0.0338332
6.4266,0.033854
6.42661,0.0337473
6.42773,0.0337789
6.42774,0.0336815
6.42885,0.0337213
6.42886,0.0336312
6.4301,0.0338023
6.43011,0.033827
6.43123,0.0339736
6.43124,0.0339769
6.43235,0.0341048
6.43236,0.0339667
6.43348,0.0339709
6.43349,0.0338495
6.4346,0.0338683
6.43461,0.0337598
6.43573,0.0337898
6.43574,0.0336911
6.43698,0.0337297
6.43699,0.0336385
6.4381,0.0338087
6.43811,0.0338326
6.43923,0.0339785
6.43924,0.0339812
6.44035,0.0341085
6.44036,0.03397
6.44148,0.0339737
6.44149,0.033852
6.4426,0.0338705
6.44261,0.0337617
6.44373,0.0337915
6.44374,0.0336925
6.44498,0.033731
6.44499,0.0336396
6.4461,0.0338097
6.44611,0.0338334
6.44785,0.0339793
6.44786,0.0339819
6.44835,0.0341091
6.44836,0.0339705
6.44948,0.0339742
