Time	CellId	RNTI	BWPId	SINR(dB)
22.4454	1	1	0	8.09181
22.4454	1	1	0	8.08084
22.4456	1	1	0	8.09491
22.4459	1	1	0	8.13491
22.4461	1	1	0	8.15
22.4462	1	1	0	8.17316
22.4465	1	1	0	8.18331
22.4465	1	1	0	8.1691
22.4468	1	1	0	8.15425
22.4471	1	1	0	8.17019
22.4471	1	1	0	8.16627
22.4473	1	1	0	8.17366
22.4474	1	1	0	8.18079
22.4475	1	1	0	8.19579
22.4477	1	1	0	8.19956
22.4478	1	1	0	8.16803
22.4479	1	1	0	8.15556
22.448	1	1	0	8.15725
22.4482	1	1	0	8.18607
22.4483	1	1	0	8.18612
22.4484	1	1	0	8.17977
22.4486	1	1	0	8.1723
22.4487	1	1	0	8.16713
22.4488	1	1	0	8.18585
22.4489	1	1	0	8.18654
22.449	1	1	0	8.18095
22.4492	1	1	0	8.19088
22.4493	1	1	0	8.1862
22.4494	1	1	0	8.15747
22.4495	1	1	0	8.16579
22.4497	1	1	0	8.17237
22.4498	1	1	0	8.1798
22.4499	1	1	0	8.18053
22.45	1	1	0	8.15639
22.4502	1	1	0	8.15367
22.4503	1	1	0	8.1745
22.4505	1	1	0	8.17026
22.4505	1	1	0	8.16044
22.4507	1	1	0	8.16893
22.4508	1	1	0	8.16756
22.4509	1	1	0	8.17886
22.4511	1	1	0	8.17503
22.4512	1	1	0	8.1645
22.4513	1	1	0	8.1634
22.4514	1	1	0	8.15784
22.4516	1	1	0	8.18095
22.4517	1	1	0	8.16337
22.4518	1	1	0	8.1708
22.4519	1	1	0	8.17057
22.452	1	1	0	8.19977
22.4522	1	1	0	8.18277
22.4523	1	1	0	8.18836
22.4525	1	1	0	8.19744
22.4528	1	1	0	8.1645
22.4529	1	1	0	8.15894
22.4531	1	1	0	8.16738
22.4533	1	1	0	8.16792
22.4534	1	1	0	8.1605
22.4535	1	1	0	8.16251
22.4537	1	1	0	8.16917
22.454	1	1	0	8.21411
22.4542	1	1	0	8.20852
22.4543	1	1	0	8.22675
22.4544	1	1	0	8.21962
22.4546	1	1	0	8.21606
22.4548	1	1	0	8.23204
22.455	1	1	0	8.21651
22.4551	1	1	0	8.21687
22.4553	1	1	0	8.20156
22.4554	1	1	0	8.17641
22.4556	1	1	0	8.14831
22.4557	1	1	0	8.15395
22.4559	1	1	0	8.14552
22.456	1	1	0	8.14991
22.4562	1	1	0	8.15979
22.4563	1	1	0	8.18132
22.4565	1	1	0	8.17644
22.4568	1	1	0	8.23628
22.4569	1	1	0	8.24837
22.4571	1	1	0	8.24185
22.4573	1	1	0	8.20224
22.4574	1	1	0	8.20463
22.4576	1	1	0	8.20819
22.4577	1	1	0	8.22713
22.4579	1	1	0	8.23962
22.458	1	1	0	8.23126
22.4582	1	1	0	8.23891
22.4583	1	1	0	8.23638
22.4584	1	1	0	8.25776
22.4585	1	1	0	8.27036
22.4586	1	1	0	8.27486
22.4588	1	1	0	8.28727
22.4589	1	1	0	8.27618
22.459	1	1	0	8.28256
22.4592	1	1	0	8.27746
22.4593	1	1	0	8.29651
22.4594	1	1	0	8.27258
22.4596	1	1	0	8.29155
22.4597	1	1	0	8.29519
22.4598	1	1	0	8.29923
22.4599	1	1	0	8.30632
22.4601	1	1	0	8.3189
22.4602	1	1	0	8.3332
22.4604	1	1	0	8.33283
22.4605	1	1	0	8.34625
22.4606	1	1	0	8.3323
22.4608	1	1	0	8.31213
22.4611	1	1	0	8.33435
22.4611	1	1	0	8.3229
22.4613	1	1	0	8.34823
22.4617	1	1	0	8.36306
22.4618	1	1	0	8.38703
22.462	1	1	0	8.39774
22.4622	1	1	0	8.43163
22.4623	1	1	0	8.4401
22.4625	1	1	0	8.42716
22.4625	1	1	0	8.43773
22.4628	1	1	0	8.38049
22.4629	1	1	0	8.38882
22.4631	1	1	0	8.40066
22.4631	1	1	0	8.39969
22.4633	1	1	0	8.38827
22.4637	1	1	0	8.39293
22.4638	1	1	0	8.41512
22.4639	1	1	0	8.42266
22.4641	1	1	0	8.43693
22.4642	1	1	0	8.42911
22.4644	1	1	0	8.46147
22.4645	1	1	0	8.4276
22.4648	1	1	0	8.43682
22.4651	1	1	0	8.47972
22.4652	1	1	0	8.50118
22.4653	1	1	0	8.50217
22.4657	1	1	0	8.50986
22.4658	1	1	0	8.54356
22.466	1	1	0	8.56518
22.4662	1	1	0	8.58462
22.4663	1	1	0	8.5935
22.4664	1	1	0	8.62185
22.4666	1	1	0	8.63543
22.4668	1	1	0	8.67969
22.4669	1	1	0	8.66814
22.467	1	1	0	8.67231
22.4672	1	1	0	8.672
22.4673	1	1	0	8.69177
22.4674	1	1	0	8.6949
22.4677	1	1	0	8.73907
22.4678	1	1	0	8.74063
22.4679	1	1	0	8.74343
22.468	1	1	0	8.76503
22.4682	1	1	0	8.75293
22.4683	1	1	0	8.76131
22.4685	1	1	0	8.75957
22.4685	1	1	0	8.76553
22.4688	1	1	0	8.75892
22.4689	1	1	0	8.74945
22.4691	1	1	0	8.73784
22.4692	1	1	0	8.75305
22.4693	1	1	0	8.79599
22.4694	1	1	0	8.78345
22.4695	1	1	0	8.77817
22.4697	1	1	0	8.79415
22.4698	1	1	0	8.77117
