% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
3.094	1	0	0	1	309	4	2	1	4	13	1	0	28	1997
3.09425	1	0	0	1	309	4	4	1	4	15	1	0	28	1997
3.09463	1	0	0	1	309	4	7	1	4	14	1	0	28	1997
3.09488	1	0	0	1	309	5	1	1	4	15	1	0	28	1997
3.09512	1	0	0	1	309	5	3	1	4	13	1	0	28	1997
3.0955	1	0	0	1	309	5	6	1	4	15	1	0	28	1997
3.09575	1	0	0	1	309	6	0	1	4	14	1	0	28	1997
3.096	1	0	0	1	309	6	2	1	4	13	1	0	28	1997
3.09625	1	0	0	1	309	6	4	1	4	15	1	0	28	1997
3.09662	1	0	0	1	309	6	7	1	4	14	1	0	28	1997
3.09687	1	0	0	1	309	7	1	1	4	15	1	0	28	1997
3.09713	1	0	0	1	309	7	3	1	4	13	1	0	28	1997
3.0975	1	0	0	1	309	7	6	1	4	15	1	0	28	1997
3.09775	1	0	0	1	309	8	0	1	4	14	1	0	28	1997
3.098	1	0	0	1	309	8	2	1	4	13	1	0	28	1997
3.09825	1	0	0	1	309	8	4	1	4	15	1	0	28	1997
3.09863	1	0	0	1	309	8	7	1	4	14	1	0	28	1997
3.09888	1	0	0	1	309	9	1	1	4	15	1	0	28	1997
3.09912	1	0	0	1	309	9	3	1	4	13	1	0	28	1997
3.0995	1	0	0	1	309	9	6	1	4	15	1	0	28	1997
3.09987	1	0	0	1	310	0	1	1	4	14	1	0	28	1997
3.1	1	0	0	1	310	0	2	1	4	12	1	0	28	1997
3.10025	1	0	0	1	310	0	4	1	4	15	1	0	28	1997
3.10062	1	0	0	1	310	0	7	1	4	14	1	0	28	1997
3.10087	1	0	0	1	310	1	1	1	4	15	1	0	28	1997
3.10113	1	0	0	1	310	1	3	1	4	13	1	0	28	1997
3.1015	1	0	0	1	310	1	6	1	4	15	1	0	28	1997
3.10175	1	0	0	1	310	2	0	1	4	14	1	0	28	1997
3.102	1	0	0	1	310	2	2	1	4	13	1	0	28	1997
3.10225	1	0	0	1	310	2	4	1	4	15	1	0	28	1997
3.10263	1	0	0	1	310	2	7	1	4	14	1	0	28	1997
3.10288	1	0	0	1	310	3	1	1	4	15	1	0	28	1997
3.10312	1	0	0	1	310	3	3	1	4	13	1	0	28	1997
3.1035	1	0	0	1	310	3	6	1	4	15	1	0	28	1997
3.10375	1	0	0	1	310	4	0	1	4	14	1	0	28	1997
3.104	1	0	0	1	310	4	2	1	4	13	1	0	28	1997
3.10438	1	0	0	1	310	4	5	1	4	15	1	0	26	1845
3.10475	1	0	0	1	310	5	0	1	4	14	1	0	26	1845
3.10487	1	0	0	1	310	5	1	1	4	12	1	0	26	1845
3.10513	1	0	0	1	310	5	3	1	4	15	1	0	26	1845
3.1055	1	0	0	1	310	5	6	1	4	14	1	0	26	1845
3.10575	1	0	0	1	310	6	0	1	4	15	1	0	26	1845
3.106	1	0	0	1	310	6	2	1	4	13	1	0	26	1845
3.10637	1	0	0	1	310	6	5	1	4	15	1	0	26	1845
3.10663	1	0	0	1	310	6	7	1	4	14	1	0	26	1845
3.10688	1	0	0	1	310	7	1	1	4	13	1	0	26	1845
3.10712	1	0	0	1	310	7	3	1	4	15	1	0	26	1845
3.1075	1	0	0	1	310	7	6	1	4	14	1	0	28	1997
3.10775	1	0	0	1	310	8	0	1	4	15	1	0	28	1997
3.108	1	0	0	1	310	8	2	1	4	13	1	0	28	1997
3.10838	1	0	0	1	310	8	5	1	4	15	1	0	28	1997
3.10862	1	0	0	1	310	8	7	1	4	14	1	0	28	1997
3.10887	1	0	0	1	310	9	1	1	4	13	1	0	28	1997
3.10913	1	0	0	1	310	9	3	1	4	15	1	0	28	1997
3.1095	1	0	0	1	310	9	6	1	4	14	1	0	28	1997
3.10975	1	0	0	1	311	0	0	1	4	15	1	0	28	1997
3.11	1	0	0	1	311	0	2	1	4	13	1	0	26	1845
3.1105	1	0	0	1	311	0	6	1	4	14	1	0	26	1845
3.11063	1	0	0	1	311	0	7	1	4	13	1	0	26	1845
3.11088	1	0	0	1	311	1	1	1	4	12	1	0	26	1845
3.11112	1	0	0	1	311	1	3	1	4	15	1	0	26	1845
3.1115	1	0	0	1	311	1	6	1	4	14	1	0	26	1845
3.11175	1	0	0	1	311	2	0	1	4	15	1	0	26	1845
3.112	1	0	0	1	311	2	2	1	4	13	1	0	26	1845
3.11238	1	0	0	1	311	2	5	1	4	15	1	0	26	1845
3.11262	1	0	0	1	311	2	7	1	4	14	1	0	26	1845
3.11287	1	0	0	1	311	3	1	1	4	13	1	0	26	1845
3.11313	1	0	0	1	311	3	3	1	4	15	1	0	26	1845
3.1135	1	0	0	1	311	3	6	1	4	14	1	0	26	1845
3.11375	1	0	0	1	311	4	0	1	4	15	1	0	26	1845
3.114	1	0	0	1	311	4	2	1	4	13	1	0	26	1845
3.11437	1	0	0	1	311	4	5	1	4	15	1	0	26	1845
3.11463	1	0	0	1	311	4	7	1	4	14	1	0	26	1845
3.11488	1	0	0	1	311	5	1	1	4	13	1	0	26	1845
3.11512	1	0	0	1	311	5	3	1	4	15	1	0	28	1997
3.1155	1	0	0	1	311	5	6	1	4	14	1	0	28	1997
3.11575	1	0	0	1	311	6	0	1	4	15	1	0	28	1997
3.116	1	0	0	1	311	6	2	1	4	13	1	0	28	1997
3.11638	1	0	0	1	311	6	5	1	4	15	1	0	28	1997
3.11662	1	0	0	1	311	6	7	1	4	14	1	0	28	1997
